timestamp;H2avg;H2min;H2max
1500;241.75;296.4;327.76
3000;252.51;309.18;324.27
4500;252.51;313.82;321.95
6000;209.49;302.21;314.98
7500;246.05;311.5;320.79
9000;223.47;306.85;313.82
10500;214.87;303.37;313.82
12000;209.49;299.88;310.34
13500;190.13;298.72;304.53
15000;206.26;302.21;308.01
16500;187.98;297.56;302.21
18000;165.4;287.11;294.08
19500;155.72;285.95;301.05
21000;149.27;285.95;295.24
22500;157.87;288.27;296.4
24000;135.29;280.14;294.08
25500;148.19;280.14;296.4
27000;76.14;266.2;273.17
28500;70.76;262.72;268.52
30000;15.92;251.1;256.91
31500;26.67;252.26;262.72
33000;35.27;258.07;266.2
34500;6.29;245.3;253.43
36000;24.52;252.26;262.72
37500;17.05;247.62;259.23
39000;4.14;241.81;252.26
40500;9.57;240.65;258.07
42000;15.97;248.78;256.91
43500;23.5;246.46;261.56
45000;29.9;252.26;272.01
46500;8.5;244.13;258.07
48000;25.59;253.43;263.88
49500;11.72;238.33;259.23
51000;7.47;238.33;258.07
52500;0;236;246.46
54000;7.47;226.71;258.07
55500;0;230.2;248.78
57000;0;237.17;241.81
58500;2.1;239.49;252.26
60000;0;234.84;248.78
61500;0;230.2;241.81
63000;0;234.84;246.46
64500;0;232.52;239.49
66000;0;236;239.49
67500;0;229.04;240.65
69000;0;227.87;237.17
70500;0;234.84;242.97
72000;0;222.07;231.36
73500;0;236;240.65
75000;0;227.87;238.33
76500;0;218.58;234.84
78000;0;231.36;237.17
79500;0;222.07;238.33
81000;0;232.52;240.65
82500;0;229.04;238.33
84000;0;226.71;232.52
85500;0;222.07;237.17
87000;0;211.61;227.87
88500;0;215.1;236
90000;0;230.2;237.17
91500;0;223.23;233.68
93000;0;205.81;226.71
94500;0;224.39;233.68
96000;0;218.58;236
97500;0;223.23;230.2
99000;0;220.91;231.36
100500;0;212.78;226.71
102000;0;208.13;226.71
103500;0;211.61;226.71
105000;0;216.26;224.39
106500;0;202.32;212.78
108000;0;206.97;222.07
109500;0;225.55;230.2
111000;0;212.78;230.2
112500;0;217.42;224.39
114000;0;211.61;224.39
115500;0;216.26;223.23
117000;0;206.97;220.91
118500;0;213.94;225.55
120000;0;208.13;220.91
121500;0;213.94;227.87
123000;0;210.45;223.23
124500;0;215.1;220.91
126000;0;208.13;219.74
127500;0;209.29;225.55
129000;0;205.81;222.07
130500;0;206.97;215.1
132000;0;196.52;217.42
133500;0;203.48;217.42
135000;0;206.97;222.07
136500;0;208.13;219.74
138000;0;201.16;209.29
139500;0;206.97;224.39
141000;0;189.55;209.29
142500;0;201.16;210.45
144000;0;195.35;213.94
145500;0;204.65;210.45
147000;0;212.78;217.42
148500;0;200;210.45
150000;0;201.16;213.94
151500;0;205.81;223.23
153000;0;201.16;208.13
154500;0;195.35;206.97
156000;0;203.48;209.29
157500;0;197.68;206.97
159000;0;195.35;203.48
160500;0;197.68;213.94
162000;0;203.48;218.58
163500;0;198.84;210.45
165000;0;195.35;206.97
166500;0;196.52;218.58
168000;0;194.19;202.32
169500;0;191.87;202.32
171000;0;201.16;205.81
172500;0;200;215.1
174000;0;204.65;210.45
175500;0;193.03;204.65
177000;0;193.03;204.65
178500;0;201.16;210.45
180000;0;196.52;203.48
181500;0;191.87;200
183000;0;194.19;206.97
184500;0;196.52;202.32
186000;0;176.77;194.19
187500;0;183.74;196.52
189000;0;186.06;200
190500;0;197.68;208.13
192000;0;198.84;210.45
193500;0;179.09;197.68
195000;0;172.13;189.55
196500;0;177.93;183.74
198000;0;173.29;204.65
199500;0;184.9;206.97
201000;0;188.39;200
202500;0;173.29;194.19
204000;0;182.58;190.71
205500;0;187.22;194.19
207000;0;176.77;191.87
208500;0;179.09;191.87
210000;0;174.45;201.16
211500;0;181.42;200
213000;0;179.09;196.52
214500;0;187.22;190.71
216000;0;189.55;200
217500;0;182.58;196.52
219000;0;181.42;193.03
220500;0;159.35;183.74
222000;0;180.26;187.22
223500;0;170.96;193.03
225000;0;186.06;191.87
226500;0;159.35;168.64
228000;0;180.26;187.22
229500;0;166.32;188.39
231000;0;175.61;182.58
232500;0;175.61;181.42
234000;0;175.61;188.39
235500;0;164;182.58
237000;0;169.8;179.09
238500;0;170.96;191.87
240000;0;179.09;190.71
241500;0;172.13;182.58
243000;0;166.32;183.74
244500;0;157.03;181.42
246000;0;165.16;179.09
247500;0;176.77;186.06
249000;0;169.8;189.55
250500;0;161.67;176.77
252000;0;172.13;186.06
253500;0;166.32;183.74
255000;0;168.64;190.71
256500;0;176.77;184.9
258000;0;170.96;180.26
259500;0;173.29;183.74
261000;0;173.29;183.74
262500;0;164;184.9
264000;0;150.06;183.74
265500;0;161.67;190.71
267000;0;168.64;177.93
268500;0;181.42;187.22
270000;0;152.38;181.42
271500;0;143.09;176.77
273000;0;158.19;176.77
274500;0;153.54;176.77
276000;0;164;173.29
277500;0;169.8;187.22
279000;0;170.96;193.03
280500;0;155.87;172.13
282000;0;162.83;169.8
