timestamp;H2avg;H2min;H2max
1500;619.24;583.33;655.16
3000;622.51;596.39;642.1
4500;637.2;629.04;655.16
6000;588.23;576.8;602.92
7500;580.06;563.74;602.92
9000;570.27;550.68;589.86
10500;544.15;531.09;557.21
12000;537.62;531.09;544.15
13500;518.03;478.85;537.62
15000;508.23;478.85;537.62
16500;601.29;596.39;609.45
18000;567;550.68;576.8
19500;524.56;511.5;537.62
21000;493.54;472.32;511.5
22500;508.23;465.79;537.62
24000;516.4;504.97;531.09
25500;518.03;504.97;531.09
27000;498.44;478.85;511.5
28500;467.42;433.14;498.44
30000;491.91;478.85;504.97
31500;488.64;472.32;504.97
33000;593.12;563.74;629.04
34500;594.76;589.86;596.39
36000;518.03;511.5;531.09
37500;558.84;544.15;570.27
39000;501.7;485.38;518.03
40500;491.91;485.38;498.44
42000;495.17;485.38;504.97
43500;472.32;446.2;491.91
45000;472.32;472.32;472.32
46500;495.17;472.32;511.5
48000;478.85;459.26;491.91
49500;410.28;400.49;413.55
51000;424.98;387.43;446.2
52500;400.49;374.37;439.67
54000;433.14;393.96;459.26
55500;420.08;400.49;433.14
57000;392.33;348.25;433.14
58500;382.53;374.37;400.49
60000;405.39;374.37;446.2
61500;410.28;393.96;433.14
63000;385.8;374.37;400.49
64500;336.82;276.42;387.43
66000;328.66;309.07;341.72
67500;349.88;335.19;361.31
69000;335.19;302.54;354.78
70500;302.54;282.95;322.13
72000;315.6;296.01;335.19
73500;269.89;224.18;302.54
75000;276.42;263.36;289.48
76500;322.13;315.6;328.66
78000;338.45;315.6;354.78
79500;281.32;269.89;302.54
81000;276.42;263.36;289.48
82500;248.67;237.24;263.36
84000;274.79;263.36;289.48
85500;263.36;250.3;289.48
87000;247.04;217.65;276.42
88500;248.67;230.71;269.89
90000;235.61;217.65;269.89
91500;281.32;269.89;296.01
93000;235.61;204.59;250.3
94500;202.96;158.88;250.3
96000;220.92;191.53;243.77
97500;199.69;178.47;211.12
99000;212.75;191.53;237.24
100500;198.06;165.41;224.18
102000;198.06;171.94;224.18
103500;180.1;171.94;198.06
105000;222.55;198.06;256.83
106500;176.84;139.29;217.65
108000;171.94;158.88;185
109500;186.63;158.88;211.12
111000;191.53;165.41;204.59
112500;171.94;158.88;185
114000;235.61;217.65;250.3
115500;199.69;185;217.65
117000;181.74;171.94;185
118500;194.8;165.41;230.71
120000;178.47;158.88;204.59
121500;163.78;113.17;204.59
123000;219.28;191.53;269.89
124500;196.43;171.94;230.71
126000;178.47;158.88;204.59
127500;114.8;93.58;145.82
129000;188.27;165.41;217.65
130500;189.9;145.82;211.12
132000;171.94;152.35;211.12
133500;201.33;191.53;211.12
135000;175.21;158.88;198.06
136500;209.49;185;237.24
